Store,Theme,final_theme_score
신대방삼거리역,서비스,3.89
신대방삼거리역,단체모임,3.52
신대방삼거리역,가성비,4.32
중앙대,분위기,2.93
중앙대,공간,10.2
중앙대,프라이버시,9.8
중앙대,서비스,5.95
중앙대,단체모임,8.34
중앙대,가성비,11.7
숭실대입구역,분위기,2.1
숭실대입구역,공간,5.94
숭실대입구역,프라이버시,6.15
숭실대입구역,서비스,5.17
숭실대입구역,단체모임,5.08
숭실대입구역,가성비,9.17
숭실대,분위기,2.18
숭실대,공간,7.06
숭실대,프라이버시,5.68
숭실대,서비스,6.03
숭실대,단체모임,5.83
숭실대,가성비,8.12
사당역,분위기,2.18
사당역,공간,4.53
사당역,프라이버시,2.44
사당역,서비스,3.98
사당역,단체모임,3.16
사당역,가성비,5.13
서강대프라자,분위기,4.73
서강대프라자,공간,10.7
서강대프라자,프라이버시,15.5
서강대프라자,서비스,10.63
서강대프라자,단체모임,9.39
서강대프라자,가성비,15.92
상암YTN,분위기,3.11
상암YTN,공간,5.58
상암YTN,프라이버시,3.07
상암YTN,서비스,4.87
상암YTN,단체모임,4.29
상암YTN,가성비,4.39
마포용강동,분위기,3.04
마포용강동,공간,4.96
마포용강동,프라이버시,4.8
마포용강동,서비스,5.54
마포용강동,단체모임,3.93
마포용강동,가성비,9.21
홍대입구역사거리R,분위기,2.56
홍대입구역사거리R,공간,4.41
홍대입구역사거리R,프라이버시,1.34
홍대입구역사거리R,서비스,4.37
홍대입구역사거리R,단체모임,3.7
홍대입구역사거리R,가성비,5.78
마포경찰서후문,분위기,3.97
